	a01	a05	a20	a41	a44
colonial	0	1	0	0	0
colonialism	0	0	0	1	0
colonies	0	0	0	1	0
colquitt	2	0	0	0	0
commission	0	3	1	0	0
commissioner's	1	0	0	0	0
committee	3	3	0	0	0
commodities	0	0	0	1	0
communities	0	0	0	0	1
companies	0	0	0	1	0
compassion	0	0	0	1	0
compensation	1	0	0	0	0
compensations	0	0	1	0	0
concessionaires	1	0	0	0	0
condition	0	0	1	0	1
conditioned	0	1	0	0	0
confusion	0	0	0	1	0
congressional	1	0	0	0	0
conscience	0	0	0	1	0
consequently	0	0	0	1	1
constitution	1	0	0	0	0
constitutional	1	0	0	0	0
construction	2	0	0	0	0
contain	0	0	0	1	0
contained	0	0	0	1	0
containing	0	0	1	0	0
continue	1	0	0	0	1
continued	0	0	2	0	0
continuing	0	0	0	0	1
continuous	0	1	0	0	0
convenience	0	0	0	1	0
conventional	0	0	1	0	0
conviction	0	0	0	1	0
cooled	0	0	1	0	0
coolest	2	0	0	0	0
cooperating	0	0	0	0	1
cooperation	0	1	0	0	1
cooperative	0	0	0	0	2
cooperman	0	0	2	0	0
coordinator	1	0	0	0	1
copies	0	0	0	0	1
could	0	3	4	1	2
council	1	16	0	2	0
council's	0	1	0	1	0
counseling	0	1	0	0	0
counties	2	0	0	0	1
country	0	1	0	5	2
country's	0	0	1	0	0
county	15	0	0	0	6
county-wide	0	0	0	0	1
couple	2	0	2	0	0
course	0	0	0	0	1
courses	1	0	0	0	0
court	4	3	6	0	0
court's	1	0	0	0	0
courts	1	0	0	0	0
created	0	0	0	0	1
creation	0	0	0	1	1
cross-section	0	0	0	0	1
cruelty	1	0	0	0	0
daily	0	0	0	0	1
daughter	1	0	1	0	0
dealing	0	0	0	1	0
death	1	0	1	1	0
dedication	0	0	0	0	1
defeated	1	0	0	0	0
definition	0	0	0	1	0
delegation	1	0	0	0	0
deputies	2	0	0	0	0
detail	0	0	2	0	1
detailed	0	1	0	0	0
details	1	0	1	0	0
dialects	0	0	0	1	0
direction	0	0	0	0	1
discounts	0	0	0	0	1
discouraged	0	0	0	1	0
disparities	0	0	0	1	0
disposition	0	1	0	0	0
disproportionate	1	0	0	0	0
distribution	1	0	0	0	0
diversified	0	0	0	0	1
does	1	1	0	0	0
doing	0	0	1	0	0
doubled	0	0	0	0	1
doubtless	0	0	0	1	0
dreadnought	0	0	6	0	0
due	0	0	0	1	0
durwood	1	0	0	0	0
each	1	0	3	4	7
earlier	1	0	1	1	1
earliest	0	1	0	0	0
early	0	1	0	0	1
east	0	4	2	0	1
eastern	0	0	0	1	0
eat	0	0	0	1	0
education	3	0	0	3	5
efficiency	1	0	0	0	1
eight	0	0	3	1	0
eire	0	0	0	1	0
either	0	0	1	1	1
election	14	4	0	0	0
encouragement	1	0	0	0	0
enough	0	1	0	1	1
ensued	0	0	1	0	0
enthusiasm	1	0	0	0	0
enthusiastic	1	0	0	0	1
equator	0	0	0	1	0
equatorial	0	0	0	1	0
equipment	0	1	2	1	0
equitable	1	0	0	0	0
especially	0	1	0	0	1
essential	0	2	0	0	0
europe	0	0	0	1	0
evaluate	0	0	0	0	1
exceed	0	0	0	0	1
exception	2	0	0	0	0
exhibition	0	0	1	0	0
expansion	0	0	0	0	1
experienced	1	0	0	0	1
explained	0	2	0	0	0
exploit	0	0	0	1	0
exploited	0	0	0	1	0
facilities	0	0	0	0	1
failed	0	0	0	1	0
failing	0	0	0	0	1
fails	0	1	0	0	0
failure	1	0	0	0	0
fair	1	0	0	0	0
famous	0	0	1	0	0
feared	1	0	0	0	0
fearing	0	0	0	1	0
featured	1	0	0	0	0
february	0	0	0	2	0
feel	1	0	0	0	1
fees	1	0	0	0	0
fiction	0	0	0	0	2
financial	0	1	0	0	2
fleet	0	0	3	0	0
floor	0	0	1	0	0
food	0	0	1	2	0
foods	0	1	0	0	0
foreign	0	0	0	1	1
foresee	0	0	0	0	1
found	1	0	3	0	1
founding	0	0	0	0	1
four	2	0	3	1	0
fourteen	0	0	1	0	0
fourth	0	0	0	1	0
fragmentation	0	0	0	1	0
free	0	2	0	0	1
freeport	0	0	0	0	1
frequent	0	0	0	0	1
frequently	0	1	0	1	0
frictions	0	0	0	1	0
friend	0	0	1	0	0
friendly	1	0	0	0	0
gainesville	1	0	0	0	0
gaining	0	1	0	0	0
gear	0	0	1	0	0
gee	0	0	2	0	0
gee's	0	0	1	0	0
generation	0	0	1	0	0
geographically	0	0	0	0	1
geography	0	0	0	1	0
george	1	1	1	0	0
georgia	4	0	0	0	0
georgia's	4	0	0	0	0
goal	0	1	0	0	2
goes	1	0	0	0	1
going	0	1	1	0	0
good	1	0	1	1	0
goutte	0	0	0	1	0
graduate	0	0	0	1	0
graduates	0	0	0	1	0
grassroots	0	0	0	0	1
great	0	1	0	3	2
greater	1	0	0	0	0
greatly	0	0	1	1	0
green	0	0	1	0	0
grievances	0	0	1	0	0
grooming	0	1	0	0	0
grounds	0	1	0	0	0
group	0	6	1	0	0
groupings	0	0	0	2	0
groups	0	1	0	0	3
guard	0	0	1	0	0
guardians	1	0	0	0	0
gubernatorial	1	0	0	0	0
guidance	0	0	0	0	1
guilt	0	0	1	0	0
guiltless	0	0	0	1	0
guilty	0	1	1	0	0
guinea	0	0	0	1	0
hard-fought	1	0	0	0	0
hartsfield	5	0	0	0	0
head	1	1	0	1	0
headquarters	0	1	0	1	14
health	1	0	0	0	0
hear	0	0	0	0	1
heard	0	1	2	0	0
hearing	0	0	2	0	0
hearings	0	1	0	0	0
heavily	1	0	0	0	1
heavy	0	1	0	1	0
hempstead	0	0	0	0	2
heroin	0	0	1	0	0
hewlett-woodmere	0	0	0	0	1
historian	0	0	0	1	0
houghton	0	0	1	0	0
hour	0	0	1	0	0
hours	0	0	0	2	1
house	5	1	1	1	0
houses	0	0	0	0	1
housing	0	0	0	1	0
identified	0	0	1	0	0
illinois	0	0	1	0	0
immediate	0	1	0	0	0
immediately	0	0	0	2	0
implementation	2	0	0	0	0
implication	0	0	1	0	0
inadequacy	0	0	0	0	1
inadequate	1	0	0	0	2
increase	3	2	0	0	0
increased	1	0	1	0	0
increases	0	1	0	0	0
increasing	0	1	0	0	0
increasingly	0	0	0	0	1
indeed	0	0	0	1	0
india	0	0	0	1	0
indiana	0	0	1	0	0
individual	0	0	1	0	4
individuals	0	0	0	1	0
industrial	0	1	0	0	0
influences	1	0	0	0	0
information	0	3	3	0	0
initiating	0	0	0	1	0
instead	0	2	0	1	0
institutions	0	0	0	0	1
intellectual	0	0	0	1	0
intervention	0	0	0	1	0
investigation	1	0	1	1	0
irregularities	3	0	0	0	0
issuance	1	0	0	0	0
issue	5	1	0	0	0
issued	1	0	0	0	0
jail	3	0	0	0	0
jealousies	0	0	1	0	0
jeremiah	0	0	1	0	0
join	0	0	0	0	1
joining	0	0	0	0	1
juries	1	0	0	0	0
kasai	0	0	0	2	0
keeping	1	0	0	0	0
klaus	0	0	1	0	0
knee	0	0	1	0	0
language	0	0	0	0	1
languages	0	0	0	0	1
laughlin	0	1	0	0	0
launched	0	0	1	0	0
leaders	0	0	0	1	0
leadership	0	1	0	0	0
leading	1	0	1	0	0
league	0	1	0	0	0
learned	1	1	0	0	0
least	0	0	0	3	1
legislation	1	1	0	0	0
leopold	0	0	0	1	0
leopold's	0	0	0	1	0
leopoldville	0	0	0	1	0
librarian	0	0	0	0	3
librarian's	0	0	0	0	1
librarians	0	0	0	0	5
libraries	0	0	0	0	22
limitations	0	0	0	0	1
liquor	1	0	0	0	0
livelihood	0	1	0	0	0
loan	0	0	0	0	1
loans	0	0	0	0	1
loose	0	0	0	1	0
looting	0	0	0	1	0
luncheon	0	1	1	0	0
magnification	0	0	1	0	0
maiden	0	0	1	0	0
mail	0	0	0	0	1
main	0	0	0	0	1
maintain	0	0	0	0	1
maintains	0	0	0	0	2
married	1	0	0	0	0
material	0	0	0	0	1
materials	0	0	0	0	1
meadow	0	0	0	0	1
mean	0	1	0	0	0
meaning	0	1	0	1	0
means	0	1	0	0	1
meant	0	0	0	2	0
meanwhile	1	0	0	1	0
measures	0	0	0	1	0
meet	0	1	0	1	1
meeting	2	3	0	0	0
mention	1	0	0	0	0
mentioned	0	0	1	1	0
mentions	0	0	1	0	0
mercenaries	0	0	0	1	0
michael	0	1	0	0	0
million	5	0	0	2	1
mission	0	0	0	1	0
moise	0	0	0	3	0
motivations	0	0	0	1	0
multi-million-dollar	1	0	0	0	0
mutual	0	0	0	1	0
nanook	0	0	0	0	1
nassau	0	0	0	0	7
nation	0	0	0	2	1
nation's	0	1	0	0	0
national	0	2	0	2	1
nationalism	0	0	0	1	0
nationally	0	1	0	0	0
nations	0	0	0	5	0
nautilus	0	0	2	0	0
near	1	0	1	0	0
near-balkanization	0	0	0	1	0
nearly	0	0	0	1	2
need	0	1	0	0	2
needed	0	1	1	1	2
needs	0	1	0	0	2
neighborhood	0	1	0	0	0
neighbors	0	1	0	0	0
neither	0	1	0	1	0
nonfiction	0	0	0	0	2
nuclear	0	0	3	0	0
nucleus	0	0	0	0	1
obstructionist	0	0	0	1	0
obtain	1	2	0	0	1
obtained	0	2	0	0	0
obtaining	0	1	0	0	0
obvious	0	0	0	0	1
occasion	0	0	1	1	0
occupation	1	0	0	0	0
official	1	0	0	0	0
officially	0	0	0	1	0
officials	1	0	1	0	0
oil	0	0	0	1	0
operation	1	1	0	0	1
opinion	0	3	0	1	0
opinions	0	1	0	0	0
opposition	0	2	0	0	0
organization	0	2	0	0	1
organizations	0	0	0	0	2
our	2	4	1	0	10
ourselves	0	0	0	0	1
oust	0	0	0	1	0
out	3	1	3	7	1
outgoing	1	0	0	0	0
outlets	0	1	0	0	0
outline	0	1	0	0	0
outmoded	1	0	0	0	0
outright	1	0	0	0	0
outrun	0	0	1	0	0
outside	0	0	1	0	0
oversimplification	0	0	0	1	0
paid	1	0	0	0	0
paratroops	0	0	0	1	0
parliament	0	0	0	1	0
parties	0	4	0	2	0
patient	0	0	0	0	1
patients	0	0	0	1	0
pearl	1	0	0	0	0
pedagogue	0	0	0	1	0
pennsylvania	0	0	0	1	0
pension	1	0	0	0	0
people	0	1	1	3	1
period	0	0	2	1	0
periodic	1	0	0	0	0
periodicals	0	0	0	0	1
petition	4	1	0	0	0
petitions	2	2	0	0	0
physician's	0	0	1	0	0
plead	0	1	0	0	0
pleaded	0	0	3	0	0
plee-zing	0	0	1	0	0
point	0	2	0	1	0
pointed	1	0	0	0	0
points	0	0	0	1	0
policies	1	0	0	0	0
pool	0	0	0	0	1
pooling	0	1	0	0	0
population	0	0	0	1	3
populous	1	0	0	0	0
portion	2	0	0	0	0
position	0	0	0	1	0
positions	0	0	0	1	0
potential	0	0	1	0	0
prairie	0	0	2	0	0
praise	1	0	0	0	0
praised	1	0	0	0	0
pre-school	0	0	0	0	1
premier	0	0	0	2	0
previous	1	0	0	0	0
priority	2	0	0	0	0
promotional	0	0	0	0	1
proof	0	0	1	0	0
proportionate	1	0	0	0	0
proportionately	0	0	0	0	1
protection	0	0	0	1	0
provincial	0	0	0	1	0
provision	0	1	0	0	0
publique	0	0	0	2	0
pursuit	0	0	1	0	0
qualified	0	1	0	0	0
quality	0	0	0	0	1
quarrel	0	0	1	0	0
quarreling	0	0	0	1	0
quarter-century	0	0	0	0	1
questioned	0	0	0	1	0
questions	0	0	1	0	0
quickie	1	0	0	0	0
quickly	0	0	0	2	0
quiet	1	0	0	0	0
radiomen	0	0	1	0	0
radios	0	1	0	0	0
railroad	0	0	0	1	0
raises	2	1	0	0	0
ration	0	0	0	2	0
reach	0	0	0	0	1
reached	0	0	1	1	0
reactor	0	0	3	0	0
reactors	0	0	1	0	0
read	1	0	1	0	4
readers	0	0	0	0	1
reading	0	0	0	0	3
ready	1	0	0	1	0
real	1	1	1	0	0
realize	1	0	0	0	0
really	0	1	0	0	0
reama	0	5	0	0	0
reason	0	0	0	0	1
reasonable	1	0	0	1	0
reasons	0	0	0	0	1
receive	1	0	0	0	0
received	4	1	2	3	0
receives	1	0	0	0	0
recipients	0	0	1	0	0
recommendations	1	1	0	0	0
reconsideration	1	0	0	0	0
reconstruction	1	0	0	0	0
reconvention	0	0	0	1	0
redoubled	0	0	0	1	0
reelection	1	0	0	0	0
refueling	0	0	1	0	0
regional	0	0	0	0	1
registration	1	0	0	0	0
regrouping	0	1	0	0	0
relations	1	1	0	0	1
relationship	0	0	1	0	0
released	0	1	1	0	0
religion	0	0	0	0	1
religions	0	0	0	1	0
religious	0	1	0	0	0
remainder	0	0	0	0	1
remained	0	0	1	1	0
reorganization	0	0	0	1	0
repair	1	0	0	0	0
repealed	1	0	0	0	0
request	0	1	0	0	0
requesting	1	0	0	0	0
requests	0	0	0	0	1
require	0	0	0	0	1
required	0	1	0	1	1
requires	0	0	0	0	1
rescue	0	3	0	0	0
research	1	0	3	0	0
resignation	1	0	0	0	0
resolution	9	4	0	4	0
resource	0	0	0	0	1
resources	0	1	0	0	5
responsibilities	0	0	0	0	1
restraint	0	0	0	0	1
retained	0	1	0	0	0
reveal	0	0	1	0	0
revenue	0	1	0	0	0
review	0	1	0	0	0
revision	0	1	0	0	0
revisions	0	1	0	0	0
rioting	0	0	0	1	0
rivalries	0	0	1	0	0
road	1	0	0	0	0
roads	4	0	0	0	0
russia	0	0	1	4	0
russian	0	0	2	0	0
russians	0	0	0	1	0
said	24	31	13	1	0
sanantonio	0	1	0	0	0
school	5	0	2	0	0
schools	0	0	0	3	4
science	0	0	0	1	4
scientific	0	0	0	0	1
scientist	0	0	1	0	0
sears	0	0	2	0	0
secessionist	0	0	0	1	0
section	0	1	0	0	0
see	1	0	0	0	1
seek	1	0	1	0	0
seekonk	0	2	0	0	0
seeks	0	0	0	0	1
seem	0	0	1	0	0
seemed	0	0	0	2	0
seems	0	0	0	0	1
seen	1	0	0	0	0
selection	0	0	0	0	1
session	2	3	0	0	0
sessions	1	0	0	0	0
should	6	7	0	1	0
shouted	0	0	0	1	0
situation	0	1	0	0	1
smooth	1	0	0	0	0
social	0	0	0	1	1
socialist	0	6	0	0	0
societe	0	0	0	1	0
society	0	0	0	1	3
soldiers	0	0	0	1	0
soon	1	1	0	0	0
sought	1	0	1	0	0
sound	0	1	0	0	0
source	2	1	0	0	1
south	0	0	3	1	0
soviet	0	0	1	0	0
speaker	1	0	0	0	0
speaking	0	2	0	1	0
spearhead	0	1	0	0	0
special	0	3	1	0	0
special-interest	0	1	0	0	0
specialization	0	0	0	0	1
specialized	0	0	0	0	1
specified	0	0	1	0	0
speed	0	0	1	0	0
speeding	0	0	1	0	0
spiritual	0	0	0	0	1
sprained	0	0	1	0	0
square	0	0	0	1	0
squeeze	0	1	0	0	0
station	0	2	1	0	0
steam	0	0	1	0	0
steamily	0	0	0	1	0
steered	0	2	0	0	0
still-building	0	0	1	0	0
stood	1	0	0	0	0
street	0	0	5	1	0
streets	0	0	1	0	0
strongrooms	0	0	1	0	0
studied	1	2	0	0	0
substantial	0	0	0	0	1
succeeded	2	0	1	0	0
succeeding	0	0	0	1	0
suggestion	0	1	0	0	0
suit	2	0	0	0	0
suitable	0	0	0	0	1
superior	2	1	0	0	0
supplied	0	0	1	0	0
surrounded	0	0	0	0	1
surveillance	1	0	0	0	0
sweeping	0	0	0	1	0
teach	0	0	0	1	0
teacher	2	0	0	0	0
teaching	0	0	0	1	1
teardrop	0	0	1	0	0
technicians	0	0	0	1	0
teen-agers	0	0	0	0	1
testified	0	0	4	0	0
theater	0	1	1	0	0
their	0	3	5	13	3
though	0	0	0	1	0
thousands	0	1	0	1	0
threaten	0	0	0	0	1
threatening	0	0	0	1	1
threats	1	0	0	0	0
three	1	0	5	1	0
three-month	0	0	0	1	0
through	2	1	0	1	6
throughout	0	0	0	1	0
too	1	0	0	1	3
took	2	0	2	6	1
toolmaker	0	1	0	0	0
tools	0	0	0	0	1
torpedoes	0	0	1	0	0
touched	0	0	0	1	0
tougher	0	0	0	1	0
traditional	1	0	0	0	0
trained	0	0	0	2	0
treasurer	0	1	0	0	0
treated	0	0	1	1	0
tree	0	0	1	0	0
trial	0	0	4	0	0
tried	0	0	1	0	0
troops	0	0	0	6	0
trouble	2	0	0	0	0
troubles	0	0	0	2	0
trustees	0	0	0	0	2
tuesday	2	0	1	0	0
tunisia	0	0	0	1	0
twenty-four	0	0	0	1	0
unanimous	1	0	0	0	0
undersea	0	0	1	0	0
undoubtedly	0	1	0	0	0
undue	1	0	0	0	0
unified	0	0	0	1	0
universities	0	0	0	0	1
unmeritorious	1	0	0	0	0
uranium	0	0	0	1	0
usually	0	0	1	0	0
utilities	0	1	0	0	0
vague	0	0	0	1	0
value	0	0	3	0	0
variations	0	0	0	0	1
variety	0	1	0	0	1
various	0	0	0	1	0
variously	0	0	0	1	0
veiled	1	0	0	0	0
verification	0	1	0	0	0
view	0	0	0	0	1
views	0	2	0	0	0
vigorously	0	0	0	0	1
violate	0	0	1	0	0
violated	0	0	1	0	0
violence	1	0	0	1	0
virtue	0	0	0	0	1
vocational	0	0	1	0	0
volunteers	0	0	0	1	0
wait	1	0	0	1	0
weakness	0	0	0	0	1
wealth	0	0	0	1	0
wealthy	0	0	1	0	0
week	0	2	1	0	1
week-end	0	0	1	0	0
weekend	1	0	0	0	0
weeks	0	3	0	1	0
westinghouse	0	0	1	0	0
widespread	1	0	0	1	0
william	2	1	2	0	0
williams	5	0	0	0	0
without	0	2	1	1	3
would	9	20	8	6	1
wouldn't	0	0	0	0	1
year	2	1	2	0	2
year's	0	0	0	0	1
years	1	2	7	0	1
young	0	1	3	0	1
your	0	0	0	0	1
youth	0	0	2	0	1
youths	0	0	4	0	0
